start_ts,weather_conditions,duration_seconds
11/18/17 10:00,Bad,1440
11/4/17 10:00,Good,1883
11/11/17 14:00,Good,2225
11/18/17 11:00,Good,2415
11/4/17 14:00,Good,3411
11/18/17 12:00,Bad,2571
11/4/17 12:00,Good,2640
11/18/17 0:00,Bad,480
11/18/17 19:00,Good,0
11/11/17 10:00,Good,1414
11/11/17 12:00,Good,1981
11/11/17 8:00,Good,1200
11/4/17 11:00,Good,2160
11/11/17 15:00,Good,2400
11/11/17 20:00,Good,1500
11/18/17 14:00,Good,3660
11/25/17 14:00,Good,1740
11/4/17 18:00,Bad,2580
11/11/17 16:00,Good,2940
11/11/17 9:00,Good,1260
11/4/17 8:00,Good,1380
11/18/17 15:00,Good,3600
11/18/17 17:00,Bad,2100
11/18/17 7:00,Bad,1366
11/4/17 10:00,Good,1717
11/4/17 12:00,Good,2441
11/4/17 10:00,Good,2479
11/11/17 10:00,Good,1439
11/4/17 6:00,Good,1207
11/11/17 13:00,Good,1680
11/18/17 6:00,Good,1440
11/18/17 7:00,Bad,1560
11/4/17 10:00,Good,2112
11/11/17 15:00,Good,2160
11/11/17 9:00,Good,1380
11/4/17 7:00,Good,1200
11/4/17 11:00,Good,2328
11/4/17 18:00,Bad,2580
11/4/17 5:00,Good,1620
11/4/17 5:00,Good,1217
11/11/17 8:00,Good,1237
11/11/17 7:00,Good,1074
11/18/17 11:00,Good,2120
11/18/17 8:00,Bad,1404
11/11/17 10:00,Good,1243
11/18/17 5:00,Good,1226
11/11/17 11:00,Good,2100
11/11/17 5:00,Good,1320
11/25/17 5:00,Good,1123
11/11/17 5:00,Good,1504
11/4/17 6:00,Good,1439
11/18/17 16:00,Bad,2811
11/18/17 11:00,Good,2094
11/11/17 6:00,Good,1430
11/11/17 6:00,Good,1260
11/11/17 10:00,Good,1421
11/18/17 12:00,Bad,3026
11/4/17 10:00,Good,2006
11/4/17 14:00,Good,3120
11/25/17 12:00,Good,1380
11/11/17 6:00,Good,1415
11/18/17 13:00,Bad,3390
11/18/17 14:00,Good,2994
11/11/17 10:00,Good,1476
11/11/17 11:00,Good,1620
11/4/17 17:00,Bad,2640
11/4/17 7:00,Good,1380
11/25/17 12:00,Good,1332
11/4/17 14:00,Good,2760
11/4/17 17:00,Bad,2940
11/25/17 12:00,Good,1260
11/4/17 2:00,Good,2956
11/11/17 4:00,Good,1304
11/25/17 10:00,Good,1676
11/11/17 6:00,Good,1380
11/18/17 12:00,Bad,2700
11/4/17 11:00,Good,2700
11/4/17 6:00,Good,2928
11/11/17 6:00,Good,3332
11/4/17 13:00,Good,3008
11/18/17 12:00,Bad,4980
11/18/17 4:00,Good,1737
11/18/17 6:00,Good,1380
